"reference_id","citation_key","citation_aliases","authors","year","title","publication","volume","issue","pages","doi","hyperlink","formatted_reference","reference_type","metadata_source","source_types","core_criteria","related_criteria","model_applications","glossary_terms","landing_sections","match_status","review_notes"
"hong_2015","Hong & Cho 2015","Hong & Cho 2015","Hong, Jin-Kyung, and Jae-Chang Cho.","2015","Environmental Variables Shaping the Ecological Niche of Thaumarchaeota in Soil: Direct and Indirect Causal Effects","PLOS ONE","10","8","1–20","10.1371/journal.pone.0133763","https://doi.org/10.1371/journal.pone.0133763","Hong, Jin-Kyung, and Jae-Chang Cho. “Environmental Variables Shaping the Ecological Niche of Thaumarchaeota in Soil: Direct and Indirect Causal Effects.” PLOS ONE, vol. 10, no. 8, Aug. 2015, pp. 1–20, https://doi.org/10.1371/journal.pone.0133763.","journal-article","Zotero bibliography","Related criterion","","Prediction 17: Predictors are relevant for the species response; Projection 17: Predictors are relevant for the species response","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"jeschke_2008","Jeschke & Strayer 2008","Jeschke & Strayer 2008","Jeschke, Jonathan M., and David L. Strayer.","2008","Usefulness of Bioclimatic Models for Studying Climate Change and Invasive Species","Annals of the New York Academy of Sciences","1134","1","1–24","10.1196/annals.1439.002","https://doi.org/10.1196/annals.1439.002","Jeschke, Jonathan M., and David L. Strayer. “Usefulness of Bioclimatic Models for Studying Climate Change and Invasive Species.” Annals of the New York Academy of Sciences, vol. 1134, no. 1, 2008, pp. 1–24, https://doi.org/10.1196/annals.1439.002.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","Prediction 3: No dispersal limitation; Prediction 5: Genotype and phenotype stability; Projection 3: No dispersal limitation","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"jiguet_2010","Jiguet et al. 2010","Jiguet et al. 2010","","2010","","","","","","","https://search.crossref.org/?q=Jiguet%20et%20al.%202010","","","Unresolved","Core criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"kebede_2021","Kebede et al. 2021","Kebede et al. 2021","","2021","","","","","","","https://search.crossref.org/?q=Kebede%20et%20al.%202021","","","Unresolved","Related criterion","","Prediction 5: Genotype and phenotype stability","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"lawler_2006","Lawler et al. 2006","Lawler et al. 2006","Lawler, JOSHUA J., et al.","2006","Predicting Climate-Induced Range Shifts: Model Differences and Model Reliability","Global Change Biology","12","8","1568–84","10.1111/j.1365-2486.2006.01191.x","https://doi.org/10.1111/j.1365-2486.2006.01191.x","Lawler, JOSHUA J., et al. “Predicting Climate-Induced Range Shifts: Model Differences and Model Reliability.” Global Change Biology, vol. 12, no. 8, 2006, pp. 1568–84, https://doi.org/10.1111/j.1365-2486.2006.01191.x.","journal-article","Zotero bibliography","Related criterion","","Prediction 26: Statistical methods and algorithms employed are appropriate; Projection 26: Statistical methods and algorithms employed are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"liu_2005","Liu et al. 2005","Liu et al. 2005","","2005","","","","","","","https://search.crossref.org/?q=Liu%20et%20al.%202005","","","Unresolved","Core criterion","Prediction 31: Setting an appropriate threshold, if applicable; Projection 31: Setting an appropriate threshold, if applicable","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"liu_2019","Liu et al. 2019","Liu et al. 2019","Liu, Canran, et al.","2019","The Effect of Sample Size on the Accuracy of Species Distribution Models: Considering Both Presences and Pseudo-Absences or Background Sites","Ecography","42","3","535–48","10.1111/ecog.03188","https://doi.org/10.1111/ecog.03188","Liu, Canran, et al. “The Effect of Sample Size on the Accuracy of Species Distribution Models: Considering Both Presences and Pseudo-Absences or Background Sites.” Ecography, vol. 42, no. 3, 2019, pp. 535–48, https://doi.org/10.1111/ecog.03188.","journal-article","Zotero bibliography","Related criterion","","Prediction 28: Background points or pseduo-absences are appropriate; Projection 28: Background points or pseduo-absences are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"lobo_2008","Lobo et al. 2008","Lobo et al. 2008","Lobo, Jorge M., et al.","2008","AUC: A Misleading Measure of the Performance of Predictive Distribution Models","Global Ecology and Biogeography","17","2","145–51","10.1111/j.1466-8238.2007.00358.x","https://doi.org/10.1111/j.1466-8238.2007.00358.x","Lobo, Jorge M., et al. “AUC: A Misleading Measure of the Performance of Predictive Distribution Models.” Global Ecology and Biogeography, vol. 17, no. 2, 2008, pp. 145–51, https://doi.org/10.1111/j.1466-8238.2007.00358.x.","journal-article","Zotero bibliography","Core criterion","Prediction 30: Performance/evaluation metrics are appropriate; Projection 30: Performance/evaluation metrics are appropriate","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"lowen_2019","Lowen et al. 2019","Lowen et al. 2019","Lowen, J. Benjamin, et al.","2019","Assessing Effects of Genetic, Environmental, and Biotic Gradients in Species Distribution Modelling","ICES Journal of Marine Science","76","6","1762–75","10.1093/icesjms/fsz049","https://doi.org/10.1093/icesjms/fsz049","Lowen, J. Benjamin, et al. “Assessing Effects of Genetic, Environmental, and Biotic Gradients in Species Distribution Modelling.” ICES Journal of Marine Science, vol. 76, no. 6, Dec. 2019, pp. 1762–75, https://doi.org/10.1093/icesjms/fsz049.","journal-article","Zotero bibliography","Core criterion","Prediction 1: Species-environment equilibrium","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"maldonado_2015","Maldonado et al. 2015","Maldonado et al. 2015","Maldonado, Carla, et al.","2015","Estimating Species Diversity and Distribution in the Era of Big Data: To What Extent Can We Trust Public Databases?","Global Ecology and Biogeography","24","8","973–84","10.1111/geb.12326","https://doi.org/10.1111/geb.12326","Maldonado, Carla, et al. “Estimating Species Diversity and Distribution in the Era of Big Data: To What Extent Can We Trust Public Databases?” Global Ecology and Biogeography, vol. 24, no. 8, 2015, pp. 973–84, https://doi.org/10.1111/geb.12326.","journal-article","Zotero bibliography","Core criterion","Prediction 7: Correct taxonomic identification; Projection 7: Correct taxonomic identification","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"mandel_2010","Mandel et al. 2010","Mandel et al. 2010","","2010","","","","","","","https://search.crossref.org/?q=Mandel%20et%20al.%202010","","","Unresolved","Core criterion","Projection 2: Niche stability","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"manzoor_2018","Manzoor et al. 2018","Manzoor et al. 2018","Manzoor, Syed Amir, et al.","2018","Species Distribution Model Transferability and Model Grain Size – Finer May Not Always Be Better","Scientific Reports","8","1","7168","10.1038/s41598-018-25437-1","https://doi.org/10.1038/s41598-018-25437-1","Manzoor, Syed Amir, et al. “Species Distribution Model Transferability and Model Grain Size – Finer May Not Always Be Better.” Scientific Reports, vol. 8, no. 1, May 2018, p. 7168, https://doi.org/10.1038/s41598-018-25437-1.","journal-article","Zotero bibliography","Core criterion","Prediction 16.1: Predictors resolution matches response scale (spatial); Projection 16.1: Predictors resolution matches response scale (spatial)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"marco_2008","Marco et al. 2008","Marco et al. 2008","De Marco, Jr, Paulo, et al.","2008","Spatial Analysis Improves Species Distribution Modelling during Range Expansion","Biology Letters","4","5","577–80","10.1098/rsbl.2008.0210","https://doi.org/10.1098/rsbl.2008.0210","De Marco, Jr, Paulo, et al. “Spatial Analysis Improves Species Distribution Modelling during Range Expansion.” Biology Letters, vol. 4, no. 5, July 2008, pp. 577–80, https://doi.org/10.1098/rsbl.2008.0210.","journal-article","Zotero bibliography","Related criterion","","Prediction 3: No dispersal limitation; Projection 3: No dispersal limitation","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"marjakangas_2023","Marjakangas et al. 2023","Marjakangas et al. 2023","Marjakangas, Emma-Liina, et al.","2023","Ecological Barriers Mediate Spatiotemporal Shifts of Bird Communities at a Continental Scale","Proceedings of the National Academy of Sciences","120","23","e2213330120","10.1073/pnas.2213330120","https://doi.org/10.1073/pnas.2213330120","Marjakangas, Emma-Liina, et al. “Ecological Barriers Mediate Spatiotemporal Shifts of Bird Communities at a Continental Scale.” Proceedings of the National Academy of Sciences, vol. 120, no. 23, 2023, p. e2213330120, https://doi.org/10.1073/pnas.2213330120.","journal-article","Zotero bibliography","Core criterion","Prediction 1: Species-environment equilibrium; Projection 1: Species-environment equilibrium","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"martinez_meyer_2004","Martínez-Meyer et al. 2004","Martínez-Meyer et al. 2004","Martínez-Meyer, Enrique, et al.","2004","Ecological Niches as Stable Distributional Constraints on Mammal Species, with Implications for Pleistocene Extinctions and Climate Change Projections for Biodiversity","Global Ecology and Biogeography","13","4","305–14","10.1111/j.1466-822X.2004.00107.x","https://doi.org/10.1111/j.1466-822X.2004.00107.x","Martínez-Meyer, Enrique, et al. “Ecological Niches as Stable Distributional Constraints on Mammal Species, with Implications for Pleistocene Extinctions and Climate Change Projections for Biodiversity.” Global Ecology and Biogeography, vol. 13, no. 4, 2004, pp. 305–14, https://doi.org/10.1111/j.1466-822X.2004.00107.x.","journal-article","Zotero bibliography","Core criterion","Projection 34: Model transferability is accurate","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"meller_2014","Meller et al. 2014","Meller et al. (2014)","","2014","","","","","","","https://search.crossref.org/?q=Meller%20et%20al.%202014","","","Unresolved","Glossary","","","","Model application","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"merow_2014","Merow et al. 2014","Merow et al. 2014","Merow, Cory, et al.","2014","What Do We Gain from Simplicity versus Complexity in Species Distribution Models?","Ecography","37","12","1267–81","10.1111/ecog.00845","https://doi.org/10.1111/ecog.00845","Merow, Cory, et al. “What Do We Gain from Simplicity versus Complexity in Species Distribution Models?” Ecography, vol. 37, no. 12, 2014, pp. 1267–81, https://doi.org/10.1111/ecog.00845.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 21.1: Model complexity and structure are appropriate (under fit models); Prediction 21.2: Model complexity and structure are appropriate (over fit models); Projection 21.1: Model complexity and structure are appropriate (under fit models)","Prediction 27: Shape of the species and predictors relationships is appropriate ; Projection 27: Shape of the species and predictors relationships is appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"mesgaran_2014","Mesgaran et al. 2014","Mesgaran et al. 2014","Mesgaran, Mohsen B., et al.","2014","Here Be Dragons: A Tool for Quantifying Novelty Due to Covariate Range and Correlation Change When Projecting Species Distribution Models","Diversity and Distributions","20","10","1147–59","10.1111/ddi.12209","https://doi.org/10.1111/ddi.12209","Mesgaran, Mohsen B., et al. “Here Be Dragons: A Tool for Quantifying Novelty Due to Covariate Range and Correlation Change When Projecting Species Distribution Models.” Diversity and Distributions, vol. 20, no. 10, 2014, pp. 1147–59. Wiley Online Library, https://doi.org/10.1111/ddi.12209.","journal-article","Zotero bibliography","Core criterion; Related criterion","Projection 34: Model transferability is accurate","Prediction 15: Predictors spatial resolution matches species data; Prediction 17: Predictors are relevant for the species response; Prediction 33: Extrapolation approach is appropriate; Projection 15: Predictors spatial resolution matches species data; Projection 17: Predictors are relevant for the species response","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"meynard_2019","Meynard et al. 2019","Meynard et al. 2019","Meynard, Christine N., Boris Leroy, et al.","2019","Testing Methods in Species Distribution Modelling Using Virtual Species: What Have We Learnt and What Are We Missing?","Ecography","42","12","2021–36","10.1111/ecog.04385","https://doi.org/10.1111/ecog.04385","Meynard, Christine N., Boris Leroy, et al. “Testing Methods in Species Distribution Modelling Using Virtual Species: What Have We Learnt and What Are We Missing?” Ecography, vol. 42, no. 12, 2019, pp. 2021–36, https://doi.org/10.1111/ecog.04385.","journal-article","Zotero bibliography","Core criterion","Projection 34: Model transferability is accurate","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"morley_2020","Morley et al. 2020","Morley et al. 2020","","2020","","","","","","","https://search.crossref.org/?q=Morley%20et%20al.%202020","","","Unresolved","Core criterion","Prediction 24: Modelling and parameter uncertainty are dealt with; Projection 24: Modelling and parameter uncertainty are dealt with","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"moudry_2024","Moudrý et al. 2024","Moudrý et al. 2024","Moudrý, Vítězslav, et al.","2024","Optimising Occurrence Data in Species Distribution Models: Sample Size, Positional Uncertainty, and Sampling Bias Matter","Ecography","2024","12","e07294","10.1111/ecog.07294","https://doi.org/10.1111/ecog.07294","Moudrý, Vítězslav, et al. “Optimising Occurrence Data in Species Distribution Models: Sample Size, Positional Uncertainty, and Sampling Bias Matter.” Ecography, vol. 2024, no. 12, 2024, p. e07294, https://doi.org/10.1111/ecog.07294.","journal-article","Zotero bibliography","Related criterion","","Prediction 11: Species data covers the geographic extent; Prediction 12: Species data sample size is appropriate; Prediction 18: All predictors relevant for the species response are included; Prediction 25: Training samples are representative; Prediction 9: Unbiased species data; Projection 11: Species data covers the geographic extent; Projection 12: Species data sample size is appropriate; Projection 18: All predictors relevant for the species response are included; Projection 25: Training samples are representative; Projection 9: Unbiased species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"moudry_2025","Moudrý et al. 2025","Moudrý et al. 2025","Moudrý, Vítězslav, et al.","2024","Optimising Occurrence Data in Species Distribution Models: Sample Size, Positional Uncertainty, and Sampling Bias Matter","Ecography","2024","12","e07294","10.1111/ecog.07294","https://doi.org/10.1111/ecog.07294","Moudrý, Vítězslav, et al. “Optimising Occurrence Data in Species Distribution Models: Sample Size, Positional Uncertainty, and Sampling Bias Matter.” Ecography, vol. 2024, no. 12, 2024, p. e07294, https://doi.org/10.1111/ecog.07294.","journal-article","Zotero bibliography","Core criterion","Prediction 8: Lack of spatial positional error; Projection 8: Lack of spatial positional error","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Moudrý et al. 2025""; Zotero gives first author ""Moudrý"" and publication year 2024. Confirm the author/year and update the source citation if appropriate."
"muhling_2020","Muhling et al. 2020","Muhling et al. 2020","Muhling, Barbara A., et al.","2020","Predictability of Species Distributions Deteriorates Under Novel Environmental Conditions in the California Current System","Frontiers in Marine Science","","","","10.3389/fmars.2020.00589","https://doi.org/10.3389/fmars.2020.00589","Muhling, Barbara A., et al. “Predictability of Species Distributions Deteriorates Under Novel Environmental Conditions in the California Current System.” Frontiers in Marine Science, Volume 7-2020, 2020, https://doi.org/10.3389/fmars.2020.00589.","journal-article","Zotero bibliography","Core criterion","Projection 21.2: Model complexity and structure are appropriate (over fit models)","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"naimi_2013","Naimi et al. 2013","Naimi et al. 2013","Naimi, Babak, et al.","2014","Where Is Positional Uncertainty a Problem for Species Distribution Modelling?","Ecography","37","2","191–203","10.1111/j.1600-0587.2013.00205.x","https://doi.org/10.1111/j.1600-0587.2013.00205.x","Naimi, Babak, et al. “Where Is Positional Uncertainty a Problem for Species Distribution Modelling?” Ecography, vol. 37, no. 2, 2014, pp. 191–203, https://doi.org/10.1111/j.1600-0587.2013.00205.x.","journal-article","Zotero bibliography","Core criterion","Prediction 8: Lack of spatial positional error; Projection 8: Lack of spatial positional error","","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Naimi et al. 2013""; Zotero gives first author ""Naimi"" and publication year 2014. Confirm the author/year and update the source citation if appropriate."
"owen_2013","Owen et al. 2013","Owen et al. 2013","Owens, Hannah L., et al.","2013","Constraints on Interpretation of Ecological Niche Models by Limited Environmental Ranges on Calibration Areas","Ecological Modelling","263","","10–18","10.1016/j.ecolmodel.2013.04.011","https://doi.org/10.1016/j.ecolmodel.2013.04.011","Owens, Hannah L., et al. “Constraints on Interpretation of Ecological Niche Models by Limited Environmental Ranges on Calibration Areas.” Ecological Modelling, vol. 263, Aug. 2013, pp. 10–18. ScienceDirect, https://doi.org/10.1016/j.ecolmodel.2013.04.011.","journal-article","Zotero bibliography","Related criterion","","Prediction 33: Extrapolation approach is appropriate","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Owen et al. 2013""; Zotero gives first author ""Owens"" and publication year 2013. Confirm the author/year and update the source citation if appropriate."
"paradinas_2023","Paradinas et al. 2023","Paradinas et al. 2023","Paradinas, Iosu, et al.","2023","Understanding Spatial Effects in Species Distribution Models","PLOS ONE","18","5","1–6","10.1371/journal.pone.0285463","https://doi.org/10.1371/journal.pone.0285463","Paradinas, Iosu, et al. “Understanding Spatial Effects in Species Distribution Models.” PLOS ONE, vol. 18, no. 5, May 2023, pp. 1–6, https://doi.org/10.1371/journal.pone.0285463.","journal-article","Zotero bibliography","Core criterion","Prediction 13: Independence of species observations; Projection 13: Independence of species observations","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"pease_2022","Pease et al. 2022","Pease et al. 2022","Pease, Brent S., et al.","2022","Exploring Spatial Nonstationarity for Four Mammal Species Reveals Regional Variation in Environmental Relationships","Ecosphere","13","8","e4166","10.1002/ecs2.4166","https://doi.org/10.1002/ecs2.4166","Pease, Brent S., et al. “Exploring Spatial Nonstationarity for Four Mammal Species Reveals Regional Variation in Environmental Relationships.” Ecosphere, vol. 13, no. 8, 2022, p. e4166, https://doi.org/10.1002/ecs2.4166.","journal-article","Zotero bibliography","Core criterion","Prediction 2: Niche stability; Projection 2: Niche stability","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"phillips_2009","Phillips et al. 2009","Phillips et al. 2009","Phillips, Steven J., et al.","2009","Sample Selection Bias and Presence-Only Distribution Models: Implications for Background and Pseudo-Absence Data","Ecological Applications","19","1","181–97","10.1890/07-2153.1","https://doi.org/10.1890/07-2153.1","Phillips, Steven J., et al. “Sample Selection Bias and Presence-Only Distribution Models: Implications for Background and Pseudo-Absence Data.” Ecological Applications, vol. 19, no. 1, 2009, pp. 181–97, https://doi.org/10.1890/07-2153.1.","journal-article","Zotero bibliography","Related criterion","","Prediction 22: Biases and noise in species datasets are treated ; Prediction 28: Background points or pseduo-absences are appropriate; Projection 22: Biases and noise in species datasets are treated ; Projection 28: Background points or pseduo-absences are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"pili_2025","Pili et al. 2025","Pili et al. 2025","Pili, Arman, et al.","2025","Correcting Environmental Sampling Bias Improves Transferability of Species Distribution Models","Ecography","2025","10","e08002","10.1002/ecog.08002","https://doi.org/10.1002/ecog.08002","Pili, Arman, et al. “Correcting Environmental Sampling Bias Improves Transferability of Species Distribution Models.” Ecography, vol. 2025, no. 10, 2025, p. e08002, https://doi.org/10.1002/ecog.08002.","journal-article","Zotero bibliography","Core criterion","Prediction 10: Species data covers the environmental extent; Projection 10: Species data covers the environmental extent","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"platts_2014","Platts et al. 2014","Platts et al. (2014)","","2014","","","","","","","https://search.crossref.org/?q=Platts%20et%20al.%202014","","","Unresolved","Glossary","","","","Omission errors","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"proosdij_2015","Proosdij et al. 2015","Proosdij et al. 2015","","2015","","","","","","","https://search.crossref.org/?q=Proosdij%20et%20al.%202015","","","Unresolved","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"radomski_2022","Radomski et al. 2022","Radomski et al. 2022","","2022","","","","","","","https://search.crossref.org/?q=Radomski%20et%20al.%202022","","","Unresolved","Related criterion","","Prediction 12: Species data sample size is appropriate; Projection 12: Species data sample size is appropriate","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"ramampiandra_2023","Ramampiandra et al. 2023","Ramampiandra et al. 2023","","2023","","","","","","","https://search.crossref.org/?q=Ramampiandra%20et%20al.%202023","","","Unresolved","Core criterion","Prediction 21.1: Model complexity and structure are appropriate (under fit models); Prediction 21.2: Model complexity and structure are appropriate (over fit models); Projection 21.1: Model complexity and structure are appropriate (under fit models); Projection 21.2: Model complexity and structure are appropriate (over fit models)","","","","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
"ranc_2017","Ranc et al. 2017","Ranc et al. 2017","Ranc, Nathan, et al.","2017","Performance Tradeoffs in Target-Group Bias Correction for Species Distribution Models","Ecography","40","9","1076–87","10.1111/ecog.02414","https://doi.org/10.1111/ecog.02414","Ranc, Nathan, et al. “Performance Tradeoffs in Target-Group Bias Correction for Species Distribution Models.” Ecography, vol. 40, no. 9, 2017, pp. 1076–87, https://doi.org/10.1111/ecog.02414.","journal-article","Zotero bibliography","Related criterion","","Prediction 22: Biases and noise in species datasets are treated ; Projection 22: Biases and noise in species datasets are treated","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"rangel_2018","Rangel et al. 2018","Rangel et al. 2018","Rangel, Thiago F., et al.","2018","Modeling the Ecology and Evolution of Biodiversity: Biogeographical Cradles, Museums, and Graves","Science","361","6399","eaar5452","10.1126/science.aar5452","https://doi.org/10.1126/science.aar5452","Rangel, Thiago F., et al. “Modeling the Ecology and Evolution of Biodiversity: Biogeographical Cradles, Museums, and Graves.” Science, vol. 361, no. 6399, July 2018, p. eaar5452, https://doi.org/10.1126/science.aar5452.","journal-article","Zotero bibliography","Core criterion","Projection 2: Niche stability","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"rest_2014","Rest et al. 2014","Rest et al. 2014","Le Rest, Kévin, et al.","2014","Spatial Leave-One-out Cross-Validation for Variable Selection in the Presence of Spatial Autocorrelation","Global Ecology and Biogeography","23","7","811–20","10.1111/geb.12161","https://doi.org/10.1111/geb.12161","Le Rest, Kévin, et al. “Spatial Leave-One-out Cross-Validation for Variable Selection in the Presence of Spatial Autocorrelation.” Global Ecology and Biogeography, vol. 23, no. 7, 2014, pp. 811–20, https://doi.org/10.1111/geb.12161.","journal-article","Zotero bibliography","Related criterion","","Prediction 32: Model training and validation datasets are appropriate; Projection 32: Model training and validation datasets are appropriate","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"richmond_2010","Richmond et al. 2010","Richmond et al. 2010","Richmond, Orien M. W., et al.","2010","Is the Climate Right for Pleistocene Rewilding? Using Species Distribution Models to Extrapolate Climatic Suitability for Mammals across Continents","PLOS ONE","5","9","1–11","10.1371/journal.pone.0012899","https://doi.org/10.1371/journal.pone.0012899","Richmond, Orien M. W., et al. “Is the Climate Right for Pleistocene Rewilding? Using Species Distribution Models to Extrapolate Climatic Suitability for Mammals across Continents.” PLOS ONE, vol. 5, no. 9, Sept. 2010, pp. 1–11, https://doi.org/10.1371/journal.pone.0012899.","journal-article","Zotero bibliography","Core criterion; Related criterion","Prediction 1: Species-environment equilibrium; Prediction 21.2: Model complexity and structure are appropriate (over fit models); Prediction 4.1: Eltonian noise (positive interactions); Projection 1: Species-environment equilibrium; Projection 21.2: Model complexity and structure are appropriate (over fit models); Projection 4.1: Eltonian noise (positive interactions)","Prediction 25: Training samples are representative; Prediction 4.2: Eltonian noise (negative interactions); Prediction 9: Unbiased species data; Projection 20: Non-novel conditions; Projection 25: Training samples are representative; Projection 4.2: Eltonian noise (negative interactions); Projection 9: Unbiased species data","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"roberts_2016","Roberts et al. 2016","Roberts et al. 2016","Roberts, David R., et al.","2017","Cross-Validation Strategies for Data with Temporal, Spatial, Hierarchical, or Phylogenetic Structure","Ecography","40","8","913–29","10.1111/ecog.02881","https://doi.org/10.1111/ecog.02881","Roberts, David R., et al. “Cross-Validation Strategies for Data with Temporal, Spatial, Hierarchical, or Phylogenetic Structure.” Ecography, vol. 40, no. 8, 2017, pp. 913–29, https://doi.org/10.1111/ecog.02881.","journal-article","Zotero bibliography","Related criterion","","Prediction 33: Extrapolation approach is appropriate","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Roberts et al. 2016""; Zotero gives first author ""Roberts"" and publication year 2017. Confirm the author/year and update the source citation if appropriate."
"roberts_2017","Roberts et al. 2017","Roberts et al. 2017","Roberts, David R., et al.","2017","Cross-Validation Strategies for Data with Temporal, Spatial, Hierarchical, or Phylogenetic Structure","Ecography","40","8","913–29","10.1111/ecog.02881","https://doi.org/10.1111/ecog.02881","Roberts, David R., et al. “Cross-Validation Strategies for Data with Temporal, Spatial, Hierarchical, or Phylogenetic Structure.” Ecography, vol. 40, no. 8, 2017, pp. 913–29, https://doi.org/10.1111/ecog.02881.","journal-article","Zotero bibliography","Core criterion","Projection 34: Model transferability is accurate","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"rodriguez_2018","Rodríguez et al. 2018","Rodríguez et al. 2018","Rodríguez, Laura, et al.","2019","Integration of Physiological Knowledge into Hybrid Species Distribution Modelling to Improve Forecast of Distributional Shifts of Tropical Corals","Diversity and Distributions","25","5","715–28","10.1111/ddi.12883","https://doi.org/10.1111/ddi.12883","Rodríguez, Laura, et al. “Integration of Physiological Knowledge into Hybrid Species Distribution Modelling to Improve Forecast of Distributional Shifts of Tropical Corals.” Diversity and Distributions, vol. 25, no. 5, 2019, pp. 715–28, https://doi.org/10.1111/ddi.12883.","journal-article","Zotero bibliography","Related criterion","","Prediction 33: Extrapolation approach is appropriate","","","","probable_zotero_match_review","Probable Zotero match. The app source cites ""Rodríguez et al. 2018""; Zotero gives first author ""Rodríguez"" and publication year 2019. Confirm the author/year and update the source citation if appropriate."
"romero_2014","Romero et al. 2014","Romero et al. 2014","Romero, David, et al.","2014","Uncertainty in Distribution Forecasts Caused by Taxonomic Ambiguity under Climate Change Scenarios: A Case Study with Two Newt Species in Mainland Spain","Journal of Biogeography","41","1","111–21","10.1111/jbi.12189","https://doi.org/10.1111/jbi.12189","Romero, David, et al. “Uncertainty in Distribution Forecasts Caused by Taxonomic Ambiguity under Climate Change Scenarios: A Case Study with Two Newt Species in Mainland Spain.” Journal of Biogeography, vol. 41, no. 1, 2014, pp. 111–21, https://doi.org/10.1111/jbi.12189.","journal-article","Zotero bibliography","Core criterion","Prediction 7: Correct taxonomic identification; Projection 7: Correct taxonomic identification","","","","","matched_zotero_author_year","Matched to the Zotero bibliography by a unique first-author and publication-year combination."
"rondinini_2006","Rondinini et al. 2006","Rondinini et al. (2006)","","2006","","","","","","","https://search.crossref.org/?q=Rondinini%20et%20al.%202006","","","Unresolved","Glossary","","","","Model performance outcomes","","not_found_in_zotero","Not found in the supplied Zotero bibliography. The hyperlink opens a Crossref search; bibliographic details require review."
